AAAAUTOCLUB,"Group for drivers"
CACHEDPARTY,"Celebration that's so secret the address isn't divulged?"
CACKLEBERRY,"Egg, facetiously"
CACOGRAPHER,"One who has poor penmanship"
CADLAUGHTER,"Nasty snickering?"
CAESARSALAD,"... the waitress tried to ___"
CAESARSALAD,"Chef Cardini's creation"
CAESARSALAD,"Delicious ALAS ARCADES?"
CAESARSALAD,"Dish with coddled egg"
CAESARSALAD,"Dish with parmesan cheese and croutons"
CAESARSALAD,"Imperial course"
CAESARSALAD,"It may have anchovies"
CAESARSALAD,"Lunch for emperor Julius?"
CAESARSALAD,"Lunch with anchovies"
CAESARSALAD,"Possible source of salmonella poisoning"
CAESARSALAD,"Sid's lunch?"
CAESARSALAD,"Sid's order?"
CAESARSHOUR,"TV variety show of the 1950s starring comic Sid"
CAESARSWIFE,"One who must be above suspicion, in a saying"
CAFENERVOSA,"""Frasier"" location"
CAFESOCIETY,"Nightclub regulars"
CAGENICOLAS,"Lock up a movie star?"
CAGIERCAGER,"NBA strategy maven?"
CAHEREICOME,"A 1924 hit tune"
CAHEREICOME,"Jolson favorite"
CAINANDABEL,"Arrivals after the fall"
CAINANDABEL,"Genesis duo"
CAINANDABEL,"Old Testament brothers"
CAINEMUTINY,"1954 Best Picture nominee, with ""The"""
CAINEMUTINY,"Herman Wouk novel that won a 1952 Pulitzer, with ""The"""
CAINEMUTINY,"Herman Wouk novel that won a Pulitzer, with ""The"""
CAINEMUTINY,"Wouk novel (with ""The"")"
CAINEMUTINY,"Wouk work, with ""The"""
CAISHHUNTER,"Perfect game pitcher of May 8, 1968"
CAJUNEATERY,"Allyson's favorite spicy restaurant?"
CAJUNFIDDLE,"Instrument for Michael Doucet or Lionel Leleux"
CAKESANDALE,"1930 novel that takes its title from Shakespeare's ""Twelfth Night"""
CAKESANDALE,"Maugham satire"
CAKESANDALE,"Maugham title from ""Twelfth Night"""
CAKESANDALE,"Somerset Maugham novel of 1930"
CAKESANDALE,"W. Somerset Maugham novel"
CALAMINELOT,"Batch of itch reliever?"
CALATHIFORM,"Cup-shaped"
CALCULATORS,"Hand-held devices that divide and multiply [1967]"
CALENDARART,"A dozen seasonal photos, say"
CALFMUSCLES,"Baby moose movers?"
CALFMUSCLES,"They may be pulled by runners"
CALFMUSCLES,"They're exercised when cycling"
CALFSTRETCH,"Pre-marathon routine"
CALGARYALTA,"Stampede loc."
CALIFORNIUM,"Radioactive element of atomic number 98"
CALIPHORNIA,"The Moslem State?"
CALLALAWYER,"Use the cell phone?"
CALLALINEOF,"PART 2 OF RIDDLE"
CALLBARRIER,"Cell-phone jammer?"
CALLCENTERS,"Where ""operators are standing by"""
CALLCOLLECT,"Ring from the pen, perhaps"
CALLFORCONE,"Ice-cream request?"
CALLINECTES,"""Blue crab"""
CALLINGCARD,"""Hi. It's me. Mark McGwire."""
CALLINGCARD,"Memento of a salesman's visit"
CALLINGCARD,"Old-fashioned introduction"
CALLINGCARD,"Sign of visitation"
CALLINGCARD,"The Lone Ranger's silver bullet, e.g."
CALLINGCARD,"Z, to Zorro"
CALLINGDOWN,"Reprimanding"
CALLITQUITS,"Decide to stop"
CALLITQUITS,"Stop"
CALLITQUITS,"Stop doing what you're doing"
CALLLETTERS,"Correspondence to the editor of an Allentown newspaper?"
CALLLETTERS,"Ham operator's designated sign"
CALLLETTERS,"Radio station ID"
CALLLETTERS,"Station identification"
CALLLETTERS,"WKRP, e.g."
CALLLETTERS,"WKRP, for instance"
CALLMEBWANA,"1963 film with this puzzle's star"
CALLMEMADAM,"1950 musical by Irving Berlin, featuring Ethel Merman as a socialite ambassador"
CALLMEMADAM,"Irving Berlin musical"
CALLMEMADAM,"Musical title all of whose consonants are Roman numerals"
CALLOPTIONS,"They may be bought when stock prices are expected to rise"
CALLSATRUCE,"Ceases hostilities"
CALLSHOTGUN,"Demand upfront consideration?"
CALLSIGNALS,"Say ""hut one,"" etc., or the rings of a phone"
CALLTHEBETS,"The telemarketer tried to …"
CALLTHECOPS,"""Get help!"""
CALLTHECOPS,"Bust a party, in a way"
CALLTHEPLAY,"Decide gridiron strategy"
CALLTHESHOT,"Film director's resolution?"
CALLTHESHOT,"What a film director does?"
CALLTOORDER,"Open formally"
CALLWAITING,"Busy-signal thwarter"
CALLWAITING,"Phone service extra"
CALLWAITING,"Phone service option"
CALLWAITING,"Phone-owner's convenience"
CALRIPKENJR,"""The Ironman"""
CALRIPKENJR,"AL Rookie of the Year, 1982"
CALRIPKENJR,"Baltimore Oriole who played in 2,632 consecutive games"
CALRIPKENJR,"Baltimore player"
CALRIPKENJR,"He became the most reliable player in baseball history"
CALRIPKENJR,"Noted swinger, 8/24"
CALUMETCITY,"Suburb southeast of Chicago"
CALVINBOREL,"33A's rider"
CALVINCLONE,"Designer for geneticists?"
CALVINKLEIN,"Alternative to Armani"
CALVINKLEIN,"Designer-jeans pioneer"
CALVINKLEIN,"This 1962 graduate of Fashion Institute of Technology founded the design company that bears his name"
CAMARADERIE,"Bonhomie"
CAMDENYARDS,"1993 MLB All-Star Game setting"
CAMDENYARDS,"ORIOLES DOMAIN"
CAMDENYARDS,"Oriole Park location"
CAMDENYARDS,"Orioles settle on bats here"
CAMDENYARDS,"Where the Orioles play"
CAMELOPARDS,"Giraffes"
CAMELOTHAIR,"Guinevere's locks?"
CAMELOTNUDE,"CLAUDE MONET's racy Guinevere portrait?"
CAMELSDINER,"Eatery at an oasis?"
CAMEOBROOCH,"Ornament carved in relief"
CAMEOUTOFLF,"Was a complete surprise"
CAMERADERIE,"Friendship among the paparazzi?"
CAMERALIONS,"Photogenic cats?"
CAMERAPHONE,"*Cell, often"
CAMERAPHONE,"Device on which you can talk and take pictures: 2 wds."
CAMERAPHONE,"Shooter and caller"
CAMERAPHONE,"Small snapper"
CAMERAPHONE,"Versatile modern device"
CAMERAREADY,"Like much ad copy"
CAMERAREADY,"Photographable for printing"
CAMERONDIAZ,"""Charlie's Angels"" costar"
CAMERONDIAZ,"""Mask"" woman"
CAMERONDIAZ,"""The Sweetest Thing"" star"
CAMERONDIAZ,"""There's Something About Mary"" co-star"
CAMETHROUGH,"Prevailed at last"
CAMETOASTOP,"Ended up atop a dime?"
CAMETOBLOWS,"Mixed it up"
CAMEUNGLUED,"Lost it"
CAMEUPROSES,"Won like a gardener"
CAMEUPSHORT,"Didn't have enough"
CAMOMILETEA,"Soothing beverage"
CAMOMILETEA,"Stomach soother: Var."
CAMOMILETEA,"Twinings offering"
CAMOUFLAGED,"Hidden"
CAMPAIGNBUT,"Stump speech conjunction?"
CAMPAIGNHAT,"Fall topper"
CAMPAIGNHAT,"Park ranger's topper"
CAMPAIGNING,"Trying to win the support of voters"
CAMPAIGNTIC,"Jerk on the stump?"
CAMPBELLTON,"N.B. place"
CAMPGOLIATH,"Popular negotiation location"
CAMPIERVANS,"More outrageous vehicles?"
CAMPLAINING,"Affliction of party members during close races?"
CANADAGOOSE,"Bird on a brown-coloured bill"
CANADAGOOSE,"Golf course pest"
CANADAGOOSE,"Graceful bird"
CANADAGOOSE,"Migrating honker"
CANADAGOOSE,"Northern honker"
CANADAGOOSE,"Wild honker"
CANADAREHAN,"""The Country Girl"" up north?"
CANADIANCON,"Winnipeg swindle?"
CANADIANFAN,"Blue Jay strikeout?"
CANALSTREET,"Renovated east-central Manhattan road (5,6)"
CANASTASIMS,"Videogame where avatars play cards"
CANCALLMEAL,"""You ___"" (Paul Simon, 1987)"
CANCANLOVER,"Moulin Rouge aficionado, perhaps"
CANCELEDOUT,"Simplified, in a way"
CANCELLOANS,"Decide you don't need the bank's help after all?"
CANDELABRUM,"Menorah, e.g."
CANDIEDYAMS,"Leftovers"
CANDLELIGHT,"End of quote"
CANDLEPOWER,"CP, to a physicist"
CANDLEPOWER,"Luminous intensity"
CANDLESTICK,"""Clue"" weapon"
CANDLESTICK,"Taper holder"
CANDLESUGAR,"Sweet scent source?"
CANDYGRAMPS,"One who spoils with sweets?"
CANDYHEARTS,"Card game at Willy Wonka's Chocolate Factory?"
CANDYKISSES,"Chocolate treats"
CANDYKISSES,"Jerry Lee Lewis song"
CANDYKISSES,"Sweet smooches?"
CANDYSTORES,"Old-fashioned meeting places"
CANDYSTORES,"Places where you might steal Kisses"
CANDYSTRIPE,"Peppermint pattern"
CANDYWARHOL,"Coat a pop artist with sugar?"
CANEDCHAIRS,"Was assaultive in a crafts class?"
CANFISHSWIM,"Can you solve this puzzle?"
CANINETEETH,"Cuspids"
CANINETEETH,"Dentist's concern"
CANINETEETH,"Dogs have prominent ones"
CANINETEETH,"Dracula features"
CANINETOOTH,"Cuspid"
CANINETOOTH,"Incisor neighbor"
CANINETOOTH,"Premolar's neighbor"
CANINGCORPS,"Chair repair squad?"
CANITRYSOME,"Question while eying someone else's plate"
CANNEDADATE,"Made a simple fruit preserve?"
CANNEDGOODS,"Food drive collection"
CANNEDMUSIC,"Waiting-room entertainment, perhaps"
CANNEPEPPER,"Cajun cooking staple"
CANNOTABIDE,"Utterly loathes"
CANOEREEVES,"""Speed"" star on the lake?"
CANOEREEVES,"Actor who is an excellent paddler?"
CANOEROCKNE,"Portaging coach?"
CANOLAMOTOR,"Two additional members of the cartel"
CANONICALLY,"Following church law"
CANTATATATA,"Sign-off that's sung?"
CANTHENOISE,"""Quiet!"""
CANTILEVERS,"Structural supports"
CANTMAKEHIM,"Part five of the observation"
CANTSTOMACH,"Is unable to tolerate"
CANTTOPTHAT,"""Got me beat"""
CANTWHACKIT,"Slumping slugger's lament?"
CANTWOTIMES,"1960 MacLaine/Sinatra film (do the math)"
CANVASTARPS,"Heavy woodpile covers"
CANYOUDIGIT,"Groovy archeologist's query?"
CANYOUDIGIT,"Hippie archaeologist's query?"
CANYOUDIGIT,"Hippie's query"
CANYOUDIGIT,"Possible title for this puzzle"
CAPCRUSADER,"Batman, with ""The"""
CAPERCAPPER,"Finale of a heist?"
CAPERINGCOD,"Fish that frolics?"
CAPGUNSMOKE,"Puff from a child's toy?"
CAPILLARIES,"Minute vessels"
CAPILLARIES,"Tiny blood vessels"
CAPITALBELT,"Shot at a D.C. bar?"
CAPITALCASE,"* ""Graffiti?"" I asked. ""No, just letters."" ""Ah,"" I said, ""a ___""..."
CAPITALCITY,"Washington, D.C."
CAPITALGAIN,"'I accidentally wrote my name as ‘Iggy NoRamus' at the top of the return... the R must be my ___'"
CAPITALGAIN,"PROFIT?"
CAPITALGAIN,"Schedule D entry"
CAPITALGAIN,"Some unearned income"
CAPITALGANG,"D.C.-based talk show"
CAPITALIDEA,"Money inventor's inspiration?"
CAPITALIDEA,"Not just a great i---, but a ___ ___"
CAPITALIZED,"IZ"
CAPITALSTAX,"Levy on Harry Truman's middle name?"
CAPITOLDOME,"Home of Congress?"
CAPITOLDOME,"Roof over Congress"
CAPITOLHILL,"Congress"
CAPITOLMODE,"Stylish attire for Congress?"
CAPODEICAPI,"Big cheese"
CAPRICORNER,"Alcove for one born under The Goat?"
CAPRICORNUS,"The Sea Goat"
CAPRISUNUNU,"Outgoing GOP Senator on an Italian island vacation?"
CAPTAINAHAB,"""From hell's heart I stab at thee; for hate's sake I spit my last breath at thee"" speaker"
CAPTAINAHAB,"1956 Gregory Peck role"
CAPTAINAHAB,"His last words were ""Thus, I give up the spear!"""
CAPTAINAHAB,"To whom Stubb and Flask answered, in literature"
CAPTAINCOOK,"1778 Hawaii visitor"
CAPTAINCOOK,"18th century explorer"
CAPTAINCOOK,"18th-century navigator"
CAPTAINCOOK,"Endeavour leader"
CAPTAINCOOK,"Endeavour skipper"
CAPTAINCOOK,"English explorer"
CAPTAINCOOK,"Explorer aboard the Endeavour"
CAPTAINCOOK,"Sandwich Islands discoverer"
CAPTAINHOOK,"""Peter Pan"" pirate"
CAPTAINHOOK,"""Peter Pan"" villain"
CAPTAINHOOK,"Barrie bad guy"
CAPTAINHOOK,"Barrie baddie"
CAPTAINHOOK,"Barrie villain"
CAPTAINHOOK,"Boris Karloff Broadway role"
CAPTAINHOOK,"Captor of Wendy Darling"
CAPTAINHOOK,"Children's character whose hand was bitten off by a croc"
CAPTAINHOOK,"GEORGE ""SPARKY"" ANDERSON"
CAPTAINHOOK,"He had served as ""Blackbeard's bo'sun"""
CAPTAINHOOK,"James M. Barrie's swashbuckler"
CAPTAINHOOK,"Peter Pan pirate"
CAPTAINHOOK,"Peter Pan's adversary"
CAPTAINHOOK,"Peter Pan's arch enemy"
CAPTAINHOOK,"Peter Pan's foe"
CAPTAINHOOK,"Peter Pan's nemesis"
CAPTAINJACK,"Billy Joel's tribute to whiskey"
CAPTAINJOEY,"Role for young Bob Keeshan?"
CAPTAINKIDD,"He made Long Island into Treasure Island"
CAPTAINKIDD,"Legendary pirate"
CAPTAINKIDD,"Notorious pirate"
CAPTAINKIDD,"Pirate hanged in 1701"
CAPTAINKIDD,"Privateer who inspired ""Treasure Island"""
CAPTAINNEMO,"1954 James Mason role"
CAPTAINNEMO,"Verne mariner"
CAPTAINNEMO,"Verne villain"
CAPTAINOMEN,"Soothsaying seaman?"
CAPTAINSLOG,"""Star Trek"" journal"
CAPTAINSLOG,"Line in a bad William Shatner impersonation"
CAPTAINSLOG,"Nickname for a plodding pirate?"
CAPTAINTURK,"Bird in space?"
CARAMELCORN,"Dessert flavored with brown sugar"
CARAMELIZED,"Like sugar that's been heated until it turns brown"
CARAMELROSE,"Massachusetts chew"
CARANDDIVER,"Magazine for amphibious vehicle owners?"
CARASMUCHAS,"Part 2 of quip"
CARAVANSARY,"Inn in the East"
CARAVANSARY,"Near East inn"
CARBONATION,"Pasta-and-potato-loving country?"
CARBONDATES,"""Element #6 Goes Out With Someone New!"""
CARBONPRINT,"Artwork with a common element?"
CARBONSEVEN,"Dating isotope that's half as accurate?"
CARBONSTEEL,"Eastern bloc developed a form of metal (6,5)"
CARBURETORS,"Pre-EFI fuel/air mixers"
CARCARRIERS,"Auto dealer suppliers"
CARDCATALOG,"*Old library aid"
CARDCATALOG,"Bygone library feature"
CARDCATALOG,"Librarian's reference"
CARDCATALOG,"Library feature made obsolete by computers"
CARDCATALOG,"Library fixture"
CARDCATALOG,"Outdated library reference"
CARDCATALOG,"Outmoded library system"
CARDCATALOG,"Pre-computer age library aid"
CARDCOUNTER,"Blackjack shark"
CARDCOUNTER,"One doing blackjack-table arithmetic"
CARDCOUNTER,"Persona non grata at the blackjack table"
CARDCOUNTER,"Unpopular player at a blackjack table"
CARDIACEXAM,"Part of a routine physical"
CARDIFFALES,"Celtic quaffs?"
CARDIGANBAY,"Fashionable Welsh body of water?"
CARDINALSIN,"Bird boo-boo?"
CARDINALSIN,"Church no-no"
CARDINALSIN,"Ethical lapse in St. Louis?"
CARDINALSIN,"Ethical no-no in St. Louis?"
CARDINALSIN,"Major error at Busch Stadium"
CARDINALSIN,"Major transgression"
CARDINALSIN,"NFLer's iniquity?"
CARDINALSIN,"Newman slip?"
CARDINALSIN,"No-no"
CARDINALSIN,"Players betting on games, e.g.?"
CARDINALSIN,"St. Louis wrongdoing?"
CARDREADERS,"Computer accessories"
CARDREADERS,"Many require swiping"
CARDSHARPIE,"Felt-tip that marks a deck?"
CAREFREEEEL,"Blithe fish?"
CAREFREEEEL,"Happy-go-lucky moray?"
CAREPACKAGE,"Gift from home, to a college student"
CAREPACKAGE,"Special gift of treats"
CAREPACKAGE,"Student's gift from home"
CAREPACKAGE,"What Mom might mail to a summer camper: 2 wds."
CARETACTICS,"HMO policy?"
CARETDRIVER,"Golf club resembling an inverted V?"
CAREXHAUSTS,"""Driving takes away all your energy!"""
CAREXHAUSTS,"Some major polluters"
CARIBBEANSI,"Agreement in the Antilles?"
CARIBOUSKIN,"It's often used in Inuit clothing"
CARIOUSPOOL,"Small pond that's riddled with cavities?"
CARJACKINGS,"""Grand Theft Auto"" goings-on"
CARLCARLTON,"""Everlasting Love"" singer"
CARLITOSWAY,"1993 Al Pacino gangster movie"
CARLOSMENEM,"Argentina's longtime president"
CARLPERKINS,"""Blue Suede Shoes"" singer"
CARLTONFISK,"Gold Glover, 1972"
CARLTONFISK,"Hall of Fame catcher who famously homered in game 6 of the 1975 World Series"
CARLTONFISK,"He caught for the AL in the 1972 All-Star Game"
CARMECHANIC,"Auto engine expert"
CARMECHANIC,"One who may adjust a belt"
CARMECHANIC,"One who's good under the hood"
CARMENMCRAE,"Billie Holiday contemporary"
CARMENSENSE,"She's level-headed?"
CARNAUBAWAX,"Durable coating from a palm tree"
CARNEYASADA,"Dish created by a ""Honeymooners"" star?"
CARNEYGRANT,"Fund endowed by actor Art?"
CAROLELOMRD,"Oscar nominee for ""My Man Godfrey"""
CAROLINAICE,"What the N.H.L.'s Hurricanes skate on?"
CAROLINGIAN,"""Christmas is over, so you can stop ___, ___"""
CAROLINGIAN,"Guy from a Frankish line trolling Christmas songs with John in Scotland (11)"
CAROLSINGER,"She sews at home"
CAROLSINGER,"Voice of Christmas"
CARPAYMENTS,"END OF THE QUIP"
CARPAYMENTS,"End of the method"
CARPCLEANER,"Fish preparer?"
CARPEDIADEM,"Usurp the crown?"
CARPETLAYER,"Flora?"
CARPOOLDIEM,"Enjoy a group ride while it lasts?"
CARPOOLLENS,"How to see the HOV?"
CARPTALLIER,"CATERPILLAR conducts fish censuses?"
CARPUSWATCH,"Handy timepiece"
CARRIEKERRY,"Singer Underwood after marrying senator John?"
CARRIERTUNE,"Flattop's serenade?"
CARRIESOVER,"Postpones"
CARROLLKING,"Lewis the singer/songwriter?"
CARROTACRES,"Farm for rabbit observers?"
CARROTCAKES,"Bake sale confections"
CARROTJUICE,"V8 component"
CARROTPUNCH,"Boxing blow, per this puzzle's title"
CARROTSTICK,"Dieter's snack"
CARROTSTICK,"Orange sliver"
CARRYINCROW,"What power lines near cornfields might be doin'?"
CARRYNATION,"Famed hatchet wielder"
CARRYNATION,"Hatchet-wielding temperance advocate"
CARRYNATION,"Noted anti-alcohol crusader"
CARRYNATION,"Turn-of-the-century prohibitionist"
CARRYONBAGS,"""Just keep doing what you're doing, suitcases!"""
CARRYTHEDAY,"Win"
CARSALESMEN,"Smooth talkers, perhaps"
CARSCHASING,"Popular activity for dogs"
CARSONSKITS,"Scout's containers for trappers' gear?"
CARTELPRANK,"OPEC foolishness in a Central Park mix-up?"
CARTERGLASS,"President as Senator-Cabinet officer"
CARTFLEMING,"Haul a game-show host?"
CARTGALLERY,"Place to view wagons?"
CARTHINIANS,"Losers in the Punic Wars"
CARTOFCLOVE,"Spice wagon?"
CARTONQUEST,"Egg hunt?"
CARTOONISTS,"Funnies drawers"
CARTPOOLING,"Strategy for eco-friendly golfers?"
CARTWRIGHTS,"""Bonanza"" family"
CARVEDROAST,"Table-ready hearty entrée"
CARYGRANITE,"""... a special tribute to ___"""
CARYGRANITE,"Hard rock star?"
CARYSARTIST,"Jimson of fiction"
CASEHISTORY,"*Patient record"
CASEHISTORY,"Patient information file"
CASEHISTORY,"Social worker's file"
CASEINPOINT,"Good example"
CASEINPOINT,"Illustrative example"
CASEINPOINT,"When cheese forms from milk?"
CASENSITIVE,"Like many an online password"
CASEOFFICER,"Handler of intelligence agents"
CASEOFTARTS,"Bakery display?"
CASESTUDIES,"Where Holmes reviewed crimes?"
CASEWORKERS,"Social services employees"
CASEWORKERS,"Welfare office employees, e.g."
CASEYSIOGEL,"YANKEE SKIPPER, ONCE"
CASHADVANCE,"Credit card transaction"
CASHADVANCE,"Credit-card option"
CASHADVANCE,"Market transaction"
CASHDEPOSIT,"Money in the bank"
CASHEWSCLAY,"Nutty boxer, originally?"
CASHPAYMENT,"Compensation in bills and coins"
CASHRESERVE,"Emergency asset"
CASHSCHARGE,"Singer Johnny's gallop?"
CASHUPFRONT,"Seller's assurance of payment, and a hint to what the last words of the answers to starred clues can have in common"
CASINGCOUCH,"Sofa where the sausages get stuffed?"
CASIOROYALE,"Film about a king's calculator?"
CASSABANANA,"Plant also called musk cucumber"
CASSATTDECK,"Impressionistic cards?"
CASSIUSCLAM,"Ali's reticent persona?"
CASSIUSCLAY,"Ali, originally"
CASSIUSCLAY,"American gold medalist at the 1960 Olympics"
CASSIUSCLAY,"Defeater of Sonny Liston"
CASSIUSCLAY,"He won his first boxing title against Sonny Liston"
CASSIUSCLAY,"Muhammad Ali's old name"
CASSIUSINON,"Takes advantage of, Bard-style?"
CASSOWARIES,"Flightless birds that can run up to 40 m.p.h."
CASTASHADOW,"What sundial gnomons do"
CASTFEALIBI,"Sound out?"
CASTIRONPOT,"*Heavy metal for the kitchen"
CASTLEGATES,"Royal protection"
CASTLEPARTY,"A little knight life?"
CASTPAJAMAS,"Decide to sleep in the nude?"
CASTROSCUBA,"Dictatorship that turned 50 this year"
CASTROSCUBA,"Nearby dictatorship"
CASUALPANTS,"Non-dressy garments"
CATANDMOUSE,"Game of evasion"
CATAPULTING,"Hurling as if with a sling"
CATAPULTING,"Hurling, as with a sling"
CATASTROPHE,"Disaster"
CATBIRDSEAT,"Advantageous position"
CATBIRDSEAT,"Avian position of power?"
CATBIRDSEAT,"Position of advantage"
CATBIRDSEAT,"Songbird's perch?"
CATBURGLARS,"Stealthy thieves"
CATBURGLARS,"Stealthy thieves [clarinet]"
CATCATALOGS,"Kitty brochures?"
CATCHAFEWZS,"Be out briefly?"
CATCHAFEWZS,"Catnap"
CATCHAFEWZS,"Nap"
CATCHBLENDE,"Deceptive zinc sulfide?"
CATCHBUDGET,"Angler's estimate?"
CATCHELEVEN,"Half-priced Joseph Heller classic?"
CATCHERSBIT,"Yogi Berra's stand-up routine?"
CATCHERSBOX,"Place to crouch"
CATCHINALIE,"*Discover to be fibbing"
CATCHINALIE,"Expose, as a perjurer"
CATCHINALIE,"Trip up, perhaps"
CATCHPHRASE,"""And away we go!"" to Gleason"
CATCHPHRASE,"""Gotcha, you rascal!"""
CATCHPHRASE,"""Just do it,"" e.g."
CATCHPHRASE,"Characteristic saying"
CATCHPHRASE,"Part of a slogan, often"
CATCHPHRASE,"Popular slogan"
CATCHPHRASE,"Slogan"
CATCHSOMEZS,"Apt title for this puzzle"
CATCHSOMEZS,"Get a bit of shut-eye"
CATEGORYONE,"Hurricane classification in which wind speeds are 74-95 m.p.h.: 2 wds."
CATERPILLAR,"He was rude to Alice"
CATFANCIERS,"Ailurophobes they're not"
CATFISUNTER,"Baseball's highest-paid pitcher in 1975"
CATFOODLIDS,"EE TITLE"
CATHOSPITAL,"Where Fluffy might get fixed"
CATHYSCLOWN,"Everly Brothers #1 hit"
CATHYSYACHT,"Getaway for Guisewite?"
CATINTHEHAT,"""The Daisy-Head Mayzie"" narrator, with ""The"""
CATINTHEHAT,"Dr. Seuss book, with ""The"": 4 wds."
CATINTHEHAT,"Dr. Seuss classic, with 'The'"
CATKINSDIET,"Regimen focused on willow spikes?"
CATOBURGLAR,"Roman statesman's thieving foe?"
CATOIXTAILS,"Flogger"
CATSANDDOGS,"Critters in a downpour metaphor"
CATSANDDOGS,"End of riddle"
CATSANDDOGS,"End of the riddle"
CATSANDDOGS,"They're often collared"
CATSANDDOGS,"Very hard, as rainfall"
CATSAREALOT,"Start of a quip"
CATSCANNERS,"Hospital imaging devices"
CATSPAJAMAS,"Living end"
CATSPAJAMAS,"Nighttime Broadway wardrobe?"
CATSPAJAMAS,"Real marvel"
CATSPAJAMAS,"Remarkable thing, in old slang (with ""the"")"
CATSPAJAMAS,"Something great, in older slang"
CATSPAJAMAS,"Something remarkable, in older slang"
CATSPAJAMAS,"Tops, with ""the"""
CATSPAJAMAS,"Wonderful thing, in old slang"
CATSPYJAMAS,"Humdinger"
CATTLECALLS,"Many people read at these"
CATTLECHAWK,"A.F.C. player, in brief"
CATTLEDRIVE,"""City Slickers"" undertaking"
CATTLEDRIVE,"Chisholm Trail activity"
CATTLEDRIVE,"Head trip?"
CATTLEDRIVE,"Herd journey"
CATTLEDRIVE,"Roundup"
CATTLEHERDS,"Collections of cows"
CATTLERANCH,"Cowboy's milieu"
CATTLERANCH,"Western set"
CATTYCORNER,"""... while Joan Rivers dishes on everyone in the ___."""
